Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
Tyler Glasnow,LAD,22,22,118.1,10,5,,0,0,98,47,18,147,37,11.18,2.81,3.97,1.37,0.221,1.14,0.288,76.50%,3.58,3.69,40.9
Sonny Gray,STL,28,28,154,8,6,,0,0,139,61,17,134,49,7.83,2.86,2.73,0.99,0.238,1.22,0.282,74.30%,3.56,4.04,118.7
Kyle Bradish,BAL,29,29,155.1,10,8,,0,0,137,64,17,148,54,8.58,3.13,2.74,0.99,0.233,1.23,0.283,73.00%,3.71,3.93,92.5
Tanner Bibee,CLE,27,27,148.2,8,8,,0,0,136,63,18,140,48,8.47,2.91,2.92,1.09,0.239,1.24,0.288,73.00%,3.81,4.01,106.3
Hunter Greene,CIN,27,27,133.2,9,9,,0,0,108,64,22,169,48,11.38,3.23,3.52,1.48,0.217,1.17,0.28,69.50%,4.31,4.19,142.9
Clayton Kershaw,LAD,21,22,114.1,10,6,,0,0,103,44,16,115,28,9.06,2.2,4.11,1.26,0.237,1.15,0.286,76.40%,3.46,3.85,450.6
Brayan Bello,BOS,27,28,147.1,11,11,,0,0,154,70,16,134,54,8.19,3.3,2.48,0.98,0.261,1.41,0.314,71.10%,4.28,4.03,231.3
Grayson Rodriguez,BAL,28,28,141.2,7,6,,0,0,126,64,19,153,44,9.72,2.79,3.48,1.21,0.232,1.2,0.288,70.40%,4.06,3.9,999
Patrick Sandoval,LAA,26,27,141.2,9,9,,0,0,135,63,17,142,57,9.02,3.62,2.49,1.08,0.245,1.35,0.301,73.70%,4,4.12,429.7
Bailey Ober,MIN,28,28,144.2,8,6,,0,0,138,64,22,141,35,8.77,2.18,4.03,1.37,0.247,1.2,0.294,73.10%,3.98,4.09,144.9
Dean Kremer,BAL,28,29,154,9,7,,0,0,147,66,17,132,48,7.71,2.81,2.75,0.99,0.246,1.27,0.29,72.40%,3.86,4.03,331.9
Jon Gray,TEX,25,25,131.1,7,8,,0,0,122,62,17,131,43,8.98,2.95,3.05,1.17,0.241,1.26,0.292,69.40%,4.25,4.09,317.2
Drew Thorpe,SDP,22,22,123,9,6,,0,0,113,52,16,116,36,8.49,2.63,3.22,1.17,0.237,1.21,0.281,73.50%,3.8,3.94,999
Bryce Miller,SEA,27,27,139.1,8,7,,0,0,130,60,17,121,34,7.82,2.2,3.56,1.1,0.243,1.18,0.284,70.60%,3.88,3.99,180.8
Graham Ashcraft,CIN,24,24,131,6,9,,0,0,132,70,16,111,45,7.63,3.09,2.47,1.1,0.255,1.35,0.297,65.30%,4.81,4.38,391.2
Germán Márquez,COL,24,24,136.1,7,10,,0,0,135,72,18,117,46,7.73,3.04,2.54,1.19,0.254,1.33,0.295,66.10%,4.75,4.33,750.8
Jacob deGrom,TEX,12,12,65.1,5,2,,0,1,48,21,9,95,15,13.09,2.07,6.33,1.24,0.203,0.96,0.293,79.40%,2.89,2.87,439.6
Justin Verlander,HOU,25,25,147.1,11,8,,0,0,138,63,19,119,46,7.27,2.81,2.59,1.16,0.245,1.25,0.28,73.70%,3.85,4.33,123.5
Ranger Suárez,PHI,24,28,134.1,7,6,,0,0,132,60,15,114,48,7.64,3.22,2.38,1.01,0.252,1.34,0.297,72.30%,4.02,4.17,343.6
Reid Detmers,LAA,26,26,136.2,6,7,,0,0,125,65,19,143,49,9.41,3.23,2.92,1.25,0.238,1.27,0.292,70.60%,4.28,4.24,233.5
Charlie Morton,ATL,27,27,149.2,12,8,,0,0,134,68,19,166,64,9.98,3.85,2.59,1.14,0.235,1.32,0.299,72.30%,4.09,4.23,236
Johan Oviedo,PIT,27,31,149,8,11,,0,0,136,70,18,145,62,8.76,3.74,2.34,1.09,0.238,1.33,0.289,70.60%,4.23,4.35,999
Luis Garcia,HOU,21,22,115.1,9,7,,0,0,102,49,16,120,40,9.37,3.12,3,1.25,0.232,1.23,0.283,74.40%,3.82,4.07,729
Nestor Cortes,NYY,18,21,102.2,6,4,,0,1,91,44,14,99,28,8.68,2.45,3.54,1.23,0.235,1.16,0.28,71.40%,3.86,3.98,259.3
Brady Singer,KCR,25,26,143,7,9,,0,0,144,71,17,131,44,8.24,2.77,2.98,1.07,0.254,1.31,0.304,67.60%,4.47,4.1,451
Braxton Garrett,MIA,26,27,136.2,7,7,,0,0,138,61,17,125,39,8.23,2.57,3.21,1.12,0.256,1.29,0.305,72.50%,4.02,4.1,183.6
Hunter Brown,HOU,23,28,135.1,11,9,,0,1,122,61,16,139,53,9.25,3.53,2.62,1.06,0.233,1.29,0.288,71.40%,4.06,4.02,171.5
Cristopher Sánchez,PHI,25,28,142.1,6,7,,0,1,139,69,20,124,42,7.84,2.66,2.95,1.26,0.252,1.27,0.292,69.30%,4.36,4.37,235.1
Merrill Kelly,ARI,26,26,154,9,9,,0,0,148,68,21,132,47,7.71,2.75,2.81,1.23,0.249,1.27,0.288,73.10%,3.97,4.29,149.6
